,image0000013A.tif,image0000015A.tif,image0000017A.tif,image0000019A.tif,image0000021A.tif,image0000022A.tif,image0000023A.tif,image0000024A.tif,image0000027A.tif,image0000028A.tif,image0000029A.tif,image0000040A.tif,image0000046A.tif,image0000047A.tif,image0000048A.tif,image0000049A.tif,image0000050A.tif,image0000051A.tif,image0000054A.tif,image0000058A.tif,image0000078A.tif,image0000086A.tif,image0000088A.tif
123,-,-,-,-,True,-,-,-,True,True,-,-,True,True,-,-,True,-,-,-,True,False,False
124,-,-,True,-,-,-,-,True,-,-,-,-,-,-,-,False,True,-,-,-,False,False,-
125,-,-,True,True,False,False,True,False,False,-,-,-,False,True,-,True,-,-,-,-,False,False,-
126,-,False,True,True,True,True,True,False,True,True,True,True,True,True,True,-,-,-,-,-,True,False,False
127,-,-,-,-,-,-,-,-,-,-,-,-,True,True,True,False,-,-,False,-,False,False,True
128,-,-,True,True,True,-,True,-,-,-,True,-,-,-,True,True,-,-,False,-,False,True,-
129,-,-,-,True,-,-,True,-,True,-,-,-,False,-,True,False,True,-,False,-,True,False,True
130,-,-,-,-,-,-,True,-,-,-,-,-,True,-,False,-,-,-,-,-,True,False,-
131,-,-,True,True,-,-,-,-,False,False,-,-,-,True,False,True,-,-,-,-,False,False,True
132,-,-,-,-,True,False,True,-,True,False,-,-,True,True,False,-,False,False,-,-,False,False,False
133,-,-,True,True,-,-,True,-,True,-,-,-,True,-,-,-,-,-,-,-,False,False,-
134,-,-,True,-,-,-,True,-,-,-,-,-,True,-,-,-,-,-,-,-,False,False,-
135,-,-,False,False,-,-,-,-,True,-,-,-,True,-,-,False,-,-,-,-,False,True,-
136,-,-,True,-,-,-,True,-,True,False,-,-,-,False,-,-,-,-,-,-,False,False,-
137,-,-,True,True,-,-,True,-,True,-,-,-,-,True,-,True,True,-,-,-,False,False,False
138,-,-,-,-,True,-,-,-,True,-,-,-,-,True,False,-,False,-,-,-,False,False,-
139,-,-,False,-,-,True,-,-,True,-,-,-,-,True,-,-,-,-,-,-,False,False,-
140,-,-,-,False,-,-,-,-,False,-,-,-,-,-,-,False,True,-,-,-,True,False,-
141,-,-,-,-,-,-,True,-,True,-,-,-,-,False,-,-,-,-,-,-,False,False,-
142,-,-,-,-,-,-,True,-,-,-,-,-,-,True,-,-,False,-,-,-,True,True,-
143,-,-,True,-,-,-,True,-,False,-,-,-,False,-,-,False,True,-,-,-,-,False,-
144,-,-,-,-,-,-,True,-,False,-,-,-,False,-,-,-,-,-,-,-,False,False,-
145,False,-,False,-,False,-,-,-,True,False,-,-,-,-,True,False,False,-,-,-,False,False,-
146,-,-,-,-,True,False,-,-,-,True,-,-,True,True,-,False,-,-,True,-,-,False,False
147,-,False,-,-,False,-,False,-,False,-,-,-,True,True,-,False,-,-,False,-,False,False,False
148,-,-,-,-,False,-,True,-,False,-,-,-,True,True,-,False,-,-,True,-,-,False,False
149,-,False,-,-,True,-,True,-,False,-,-,-,True,True,-,True,True,-,True,-,-,False,-
150,-,-,-,-,-,-,False,-,-,-,-,-,False,-,-,-,False,-,-,-,-,False,False
151,True,-,True,-,True,-,-,-,-,-,-,True,-,True,-,-,-,-,True,-,-,-,-
152,True,-,False,-,-,True,True,-,-,True,-,-,-,True,-,-,-,-,False,-,False,-,True
153,-,-,-,-,-,-,-,-,-,-,-,-,-,True,-,-,-,-,-,-,-,-,False
154,-,-,-,-,-,-,-,-,-,False,-,True,-,-,-,-,-,-,-,-,False,False,-
155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
156,-,-,-,-,True,-,-,-,-,-,-,-,-,-,-,True,-,-,True,-,False,-,False
157,-,-,-,-,-,-,-,-,-,-,-,False,-,True,-,-,-,-,True,-,True,False,False
158,True,-,-,-,True,True,-,-,True,True,-,-,-,True,-,-,-,-,True,-,False,True,True
159,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False,True,False
160,-,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False,-,-
161,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False,False,-
162,True,-,-,-,-,-,-,-,-,-,-,False,-,True,-,-,-,-,-,-,False,True,-
163,True,-,True,-,-,-,-,-,-,-,-,-,-,True,-,-,-,-,True,-,False,True,-
164,-,-,-,-,-,-,-,-,-,-,-,-,-,True,-,-,-,-,True,-,False,False,False
165,True,True,-,-,-,False,-,-,-,True,-,-,-,True,-,-,-,-,True,-,False,False,True
